structural_record_id,group,operating_company,brand_family,brand,category_scope,relationship_type,ownership_start,ownership_end,source_id,verification_status,notes,category_crosswalk_id,canonical_sector,canonical_category,canonical_subcategory,primary_universe_status,category_mapping_status,current_at_reference_date,strict_control_primary,structural_brand_count_key,structural_brand_breadth_eligible,structural_category_breadth_eligible,structural_category_count_key,structural_exclusion_reason
STR_011,Wings Group,Operating entity unresolved within Wings Group,FN Man,FN Man,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__fn_man,yes,no,,category_mapping_not_ready_for_category_breadth
STR_012,Wings Group,Operating entity unresolved within Wings Group,Fres & Natural,Fres & Natural Soap,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__fres_natural,yes,no,,category_mapping_not_ready_for_category_breadth
STR_013,Wings Group,Operating entity unresolved within Wings Group,Fres & Natural,Fres & Natural Spray,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__fres_natural,yes,no,,category_mapping_not_ready_for_category_breadth
STR_014,Wings Group,Operating entity unresolved within Wings Group,GIV,GIV,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__giv,yes,no,,category_mapping_not_ready_for_category_breadth
STR_015,Wings Group,Operating entity unresolved within Wings Group,GIV,GIV White,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__giv,yes,no,,category_mapping_not_ready_for_category_breadth
STR_016,Wings Group,Operating entity unresolved within Wings Group,GOLDA,GOLDA Coffee,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__golda,yes,no,,category_mapping_not_ready_for_category_breadth
STR_017,Wings Group,Operating entity unresolved within Wings Group,Hers Protex,Hers Protex,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__hers_protex,yes,no,,category_mapping_not_ready_for_category_breadth
STR_018,Wings Group,Operating entity unresolved within Wings Group,ISOPLUS,ISOPLUS,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__isoplus,yes,no,,category_mapping_not_ready_for_category_breadth
STR_019,Wings Group,Operating entity unresolved within Wings Group,Jas Jus,Jas Jus,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__jas_jus,yes,no,,category_mapping_not_ready_for_category_breadth
STR_020,Wings Group,Operating entity unresolved within Wings Group,Sedaap,Kecap Sedaap,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__sedaap,yes,no,,category_mapping_not_ready_for_category_breadth
STR_021,Wings Group,Operating entity unresolved within Wings Group,Sedaap,Mie Sedaap,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__sedaap,yes,no,,category_mapping_not_ready_for_category_breadth
STR_022,Wings Group,Operating entity unresolved within Wings Group,Sedaap,Mie Sedaap Cup,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__sedaap,yes,no,,category_mapping_not_ready_for_category_breadth
STR_023,Wings Group,Operating entity unresolved within Wings Group,Sedaap,Mie Sedaap Ramen Yes,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__sedaap,yes,no,,category_mapping_not_ready_for_category_breadth
STR_024,Wings Group,Operating entity unresolved within Wings Group,Sedaap,Mie Sedaap Tasty,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__sedaap,yes,no,,category_mapping_not_ready_for_category_breadth
STR_025,Wings Group,Operating entity unresolved within Wings Group,Mie Sukses's,Mie Sukses's Isi 2,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__mie_sukses_s,yes,no,,category_mapping_not_ready_for_category_breadth
STR_026,Wings Group,Operating entity unresolved within Wings Group,Milkjus,Milkjus,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__milkjus,yes,no,,category_mapping_not_ready_for_category_breadth
STR_027,Wings Group,Operating entity unresolved within Wings Group,MILKU,MILKU,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__milku,yes,no,,category_mapping_not_ready_for_category_breadth
STR_028,Wings Group,Operating entity unresolved within Wings Group,Neo Coffee,Neo Coffee,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__neo_coffee,yes,no,,category_mapping_not_ready_for_category_breadth
STR_029,Wings Group,Operating entity unresolved within Wings Group,Nuvo,Nuvo,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__nuvo,yes,no,,category_mapping_not_ready_for_category_breadth
STR_030,Wings Group,Operating entity unresolved within Wings Group,Power F,Power F,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__power_f,yes,no,,category_mapping_not_ready_for_category_breadth
STR_031,Wings Group,Operating entity unresolved within Wings Group,ProGuard,ProGuard,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__proguard,yes,no,,category_mapping_not_ready_for_category_breadth
STR_032,Wings Group,Operating entity unresolved within Wings Group,Ekonomi,Sabun Cream Ekonomi,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__ekonomi,yes,no,,category_mapping_not_ready_for_category_breadth
STR_033,Wings Group,Operating entity unresolved within Wings Group,Segar Dingin,Segar Dingin,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__segar_dingin,yes,no,,category_mapping_not_ready_for_category_breadth
STR_034,Wings Group,Operating entity unresolved within Wings Group,So Fresh,So Fresh,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__so_fresh,yes,no,,category_mapping_not_ready_for_category_breadth
STR_035,Wings Group,Operating entity unresolved within Wings Group,So Soft,So Soft Detergent,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__so_soft,yes,no,,category_mapping_not_ready_for_category_breadth
STR_036,Wings Group,Operating entity unresolved within Wings Group,So Yumie,So Yumie,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__so_yumie,yes,no,,category_mapping_not_ready_for_category_breadth
STR_037,Wings Group,Operating entity unresolved within Wings Group,SoKlin,SoKlin,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__soklin,yes,no,,category_mapping_not_ready_for_category_breadth
STR_038,Wings Group,Operating entity unresolved within Wings Group,SUPERSOL,SUPERSOL,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__supersol,yes,no,,category_mapping_not_ready_for_category_breadth
STR_039,Wings Group,Operating entity unresolved within Wings Group,Tea Jus,Tea Jus,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__tea_jus,yes,no,,category_mapping_not_ready_for_category_breadth
STR_040,Wings Group,Operating entity unresolved within Wings Group,Teh Javana,Teh Javana,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__teh_javana,yes,no,,category_mapping_not_ready_for_category_breadth
STR_041,Wings Group,Operating entity unresolved within Wings Group,Teh Rio,Teh Rio,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__teh_rio,yes,no,,category_mapping_not_ready_for_category_breadth
STR_042,Wings Group,Operating entity unresolved within Wings Group,TOP Coffee,TOP Coffee,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__top_coffee,yes,no,,category_mapping_not_ready_for_category_breadth
STR_043,Wings Group,Operating entity unresolved within Wings Group,WINGS,WINGS Biru,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__wings,yes,no,,category_mapping_not_ready_for_category_breadth
STR_044,Wings Group,Operating entity unresolved within Wings Group,WIZ,WIZ 24 Disinfectant,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__wiz,yes,no,,category_mapping_not_ready_for_category_breadth
STR_045,Wings Group,Operating entity unresolved within Wings Group,WPC,WPC Toilet Cleaner,pending_category_standardization,controlled_group_portfolio,,,SRC_WNG_002;SRC_WNG_003,verified_group_portfolio,Group attribution verified; operating entity unresolved.,CAT027,,,,pending,unresolved,yes,yes,wings_group__wpc,yes,no,,category_mapping_not_ready_for_category_breadth
STR_046,Wings Group,PT Lion Wings,Ciptadent,Ciptadent,pending_category_standardization,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT027,,,,pending,unresolved,yes,no,wings_group__ciptadent,no,no,,outside_current_strict_control_primary_view
STR_047,Wings Group,PT Lion Wings,Kodomo,Kodomo,pending_category_standardization,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT027,,,,pending,unresolved,yes,no,wings_group__kodomo,no,no,,outside_current_strict_control_primary_view
STR_048,Wings Group,PT Lion Wings,Systema,Systema,pending_category_standardization,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT027,,,,pending,unresolved,yes,no,wings_group__systema,no,no,,outside_current_strict_control_primary_view
STR_049,Wings Group,PT Lion Wings,Emeron,Emeron,pending_category_standardization,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT027,,,,pending,unresolved,yes,no,wings_group__emeron,no,no,,outside_current_strict_control_primary_view
STR_050,Wings Group,PT Lion Wings,Serasoft,Serasoft,pending_category_standardization,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT027,,,,pending,unresolved,yes,no,wings_group__serasoft,no,no,,outside_current_strict_control_primary_view
STR_051,Wings Group,PT Lion Wings,Zinc,Zinc,pending_category_standardization,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT027,,,,pending,unresolved,yes,no,wings_group__zinc,no,no,,outside_current_strict_control_primary_view
STR_052,Wings Group,PT Lion Wings,Mama Lemon,Mama Lemon,pending_category_standardization,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT027,,,,pending,unresolved,yes,no,wings_group__mama_lemon,no,no,,outside_current_strict_control_primary_view
STR_053,Wings Group,PT Lion Wings,Posh,Posh,pending_category_standardization,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT027,,,,pending,unresolved,yes,no,wings_group__posh,no,no,,outside_current_strict_control_primary_view
STR_054,Wings Group,PT Glico Wings,Haku,Haku,ice cream,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT020,Dairy,Ice Cream,,included,direct,yes,no,wings_group__haku,no,no,,outside_current_strict_control_primary_view
STR_055,Wings Group,PT Glico Wings,Waku Waku,Waku Waku,ice cream,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT020,Dairy,Ice Cream,,included,direct,yes,no,wings_group__waku_waku,no,no,,outside_current_strict_control_primary_view
STR_056,Wings Group,PT Glico Wings,Frost Bite,Frost Bite,ice cream,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT020,Dairy,Ice Cream,,included,direct,yes,no,wings_group__frost_bite,no,no,,outside_current_strict_control_primary_view
STR_057,Wings Group,PT Glico Wings,J-Cone,J-Cone,ice cream,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT020,Dairy,Ice Cream,,included,direct,yes,no,wings_group__j_cone,no,no,,outside_current_strict_control_primary_view
STR_058,Wings Group,PT Calbee Wings,Potabee,Potabee,snack foods,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT031,Food,Snacks,,included,direct,yes,no,wings_group__potabee,no,no,,outside_current_strict_control_primary_view
STR_059,Wings Group,PT Calbee Wings,Krisbee,Krisbee,snack foods,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT031,Food,Snacks,,included,direct,yes,no,wings_group__krisbee,no,no,,outside_current_strict_control_primary_view
STR_060,Wings Group,PT Calbee Wings,Japota,Japota,snack foods,joint_venture,,,SRC_WNG_001,verified_joint_venture_portfolio,Excluded from strict-control primary attribution.,CAT031,Food,Snacks,,included,direct,yes,no,wings_group__japota,no,no,,outside_current_strict_control_primary_view
STR_061,Indofood,ICBP Noodles Division,Indomie,Indomie,instant noodles,controlled,,,SRC_IDF_002,verified_current_control,,CAT021,Food,Noodles,Instant Noodles,included,direct,yes,yes,indofood__indomie,yes,yes,indofood__noodles,
STR_062,Indofood,ICBP Noodles Division,Supermi,Supermi,instant noodles,controlled,,,SRC_IDF_002,verified_current_control,,CAT021,Food,Noodles,Instant Noodles,included,direct,yes,yes,indofood__supermi,yes,yes,indofood__noodles,
STR_063,Indofood,ICBP Noodles Division,Sarimi,Sarimi,instant noodles,controlled,,,SRC_IDF_002,verified_current_control,,CAT021,Food,Noodles,Instant Noodles,included,direct,yes,yes,indofood__sarimi,yes,yes,indofood__noodles,
STR_064,Indofood,ICBP Noodles Division,Sakura,Sakura,instant noodles,controlled,,,SRC_IDF_002,verified_current_control,,CAT021,Food,Noodles,Instant Noodles,included,direct,yes,yes,indofood__sakura,yes,yes,indofood__noodles,
STR_065,Indofood,ICBP Noodles Division,Pop Mie,Pop Mie,instant noodles,controlled,,,SRC_IDF_002,verified_current_control,,CAT021,Food,Noodles,Instant Noodles,included,direct,yes,yes,indofood__pop_mie,yes,yes,indofood__noodles,
STR_066,Indofood,ICBP Noodles Division,Cap 3 Ayam,Mie Telur Cap 3 Ayam,egg noodles,controlled,,,SRC_IDF_002,verified_current_control,,CAT013,Food,Noodles,Egg Noodles,included,direct,yes,yes,indofood__cap_3_ayam,yes,yes,indofood__noodles,
STR_067,Indofood,PT Indolakto,Indomilk,Indomilk,dairy,controlled,,,SRC_IDF_002,verified_current_control,,CAT012,Dairy,Dairy Products,,included,direct,yes,yes,indofood__indomilk,yes,yes,indofood__dairy_products,
STR_068,Indofood,PT Indolakto,Cap Enaak,Cap Enaak,dairy,controlled,,,SRC_IDF_002,verified_current_control,,CAT012,Dairy,Dairy Products,,included,direct,yes,yes,indofood__cap_enaak,yes,yes,indofood__dairy_products,
STR_069,Indofood,PT Indolakto,Kremer,Kremer,dairy,controlled,,,SRC_IDF_002,verified_current_control,,CAT012,Dairy,Dairy Products,,included,direct,yes,yes,indofood__kremer,yes,yes,indofood__dairy_products,
STR_070,Indofood,PT Indolakto,Tiga Sapi,Tiga Sapi,dairy,controlled,,,SRC_IDF_002,verified_current_control,,CAT012,Dairy,Dairy Products,,included,direct,yes,yes,indofood__tiga_sapi,yes,yes,indofood__dairy_products,
STR_071,Indofood,PT Indolakto,Milkuat,Milkuat,dairy,controlled,,,SRC_IDF_002,verified_current_control,,CAT012,Dairy,Dairy Products,,included,direct,yes,yes,indofood__milkuat,yes,yes,indofood__dairy_products,
STR_072,Indofood,PT Indolakto,Indofood Ice Cream,Indofood Ice Cream,ice cream,controlled,,,SRC_IDF_002,verified_current_control,,CAT020,Dairy,Ice Cream,,included,direct,yes,yes,indofood__indofood_ice_cream,yes,yes,indofood__ice_cream,
STR_073,Indofood,PT Indolakto,Orchid,Orchid Butter,butter,controlled,,,SRC_IDF_002,verified_current_control,,CAT005,Dairy,Butter,,included,direct,yes,yes,indofood__orchid,yes,yes,indofood__butter,
STR_074,Indofood,PT Indofood Fortuna Makmur,Chitato,Chitato,snack foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT031,Food,Snacks,,included,direct,yes,yes,indofood__chitato,yes,yes,indofood__snacks,
STR_075,Indofood,PT Indofood Fortuna Makmur,Qtela,Qtela,snack foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT031,Food,Snacks,,included,direct,yes,yes,indofood__qtela,yes,yes,indofood__snacks,
STR_076,Indofood,PT Indofood Fortuna Makmur,Chiki,Chiki,snack foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT031,Food,Snacks,,included,direct,yes,yes,indofood__chiki,yes,yes,indofood__snacks,
STR_077,Indofood,PT Indofood Fortuna Makmur,Maxicorn,Maxicorn,snack foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT031,Food,Snacks,,included,direct,yes,yes,indofood__maxicorn,yes,yes,indofood__snacks,
STR_078,Indofood,PT Indofood Fortuna Makmur,Jetz,Jetz,snack foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT031,Food,Snacks,,included,direct,yes,yes,indofood__jetz,yes,yes,indofood__snacks,
STR_079,Indofood,ICBP Food Seasonings Division,Indofood,Indofood,food seasonings,controlled,,,SRC_IDF_002,verified_current_control,,CAT014,Food,Seasonings and Condiments,Food Seasonings,included,direct,yes,yes,indofood__indofood,yes,yes,indofood__seasonings_and_condiments,
STR_080,Indofood,ICBP Food Seasonings Division,Indofood Racik,Indofood Racik,recipe mixes,controlled,,,SRC_IDF_002,verified_current_control,,CAT030,Food,Seasonings and Condiments,Recipe Mixes,included,direct,yes,yes,indofood__indofood_racik,yes,yes,indofood__seasonings_and_condiments,
STR_081,Indofood,ICBP Food Seasonings Division,Indofood Freiss,Indofood Freiss,cordial syrup,controlled,,,SRC_IDF_002,verified_current_control,,CAT011,Beverages,Syrups,Cordial Syrup,included,direct,yes,yes,indofood__indofood_freiss,yes,yes,indofood__syrups,
STR_082,Indofood,ICBP Nutrition & Special Foods Division,Promina,Promina,nutrition and special foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT024,Food,Nutrition and Health Foods,Nutrition and Special Foods,included,direct,yes,yes,indofood__promina,yes,yes,indofood__nutrition_and_health_foods,
STR_083,Indofood,ICBP Nutrition & Special Foods Division,SUN,SUN,nutrition and special foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT024,Food,Nutrition and Health Foods,Nutrition and Special Foods,included,direct,yes,yes,indofood__sun,yes,yes,indofood__nutrition_and_health_foods,
STR_084,Indofood,ICBP Nutrition & Special Foods Division,Govit,Govit,nutrition and special foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT024,Food,Nutrition and Health Foods,Nutrition and Special Foods,included,direct,yes,yes,indofood__govit,yes,yes,indofood__nutrition_and_health_foods,
STR_085,Indofood,ICBP Nutrition & Special Foods Division,GoWell,GoWell,nutrition and special foods,controlled,,,SRC_IDF_002,verified_current_control,,CAT024,Food,Nutrition and Health Foods,Nutrition and Special Foods,included,direct,yes,yes,indofood__gowell,yes,yes,indofood__nutrition_and_health_foods,
STR_086,Indofood,PT Anugerah Indofood Barokah Makmur,Ichi Ocha,Ichi Ocha,ready-to-drink tea,controlled,,,SRC_IDF_002,verified_current_control,,CAT029,Beverages,Tea,Ready-to-Drink Tea,included,direct,yes,yes,indofood__ichi_ocha,yes,yes,indofood__tea,
STR_087,Indofood,PT Anugerah Indofood Barokah Makmur,Club,Club,packaged water,controlled,,,SRC_IDF_002,verified_current_control,,CAT025,Beverages,Packaged Water,,included,direct,yes,yes,indofood__club,yes,yes,indofood__packaged_water,
STR_088,Indofood,PT Anugerah Indofood Barokah Makmur,Fruitamin,Fruitamin,fruit-flavored drinks,controlled,,,SRC_IDF_002,verified_current_control,,CAT017,Beverages,Fruit Drinks,Fruit-flavored Drinks,included,direct,yes,yes,indofood__fruitamin,yes,yes,indofood__fruit_drinks,
STR_089,Indofood,Bogasari Group,Segitiga Biru,Segitiga Biru,wheat flour,controlled,,,SRC_IDF_003,verified_current_control,,CAT035,Food,Flour,Wheat Flour,included,direct,yes,yes,indofood__segitiga_biru,yes,yes,indofood__flour,
STR_090,Indofood,Bogasari Group,Kunci Biru,Kunci Biru,wheat flour,controlled,,,SRC_IDF_003,verified_current_control,,CAT035,Food,Flour,Wheat Flour,included,direct,yes,yes,indofood__kunci_biru,yes,yes,indofood__flour,
STR_091,Indofood,Bogasari Group,Cakra Kembar,Cakra Kembar,wheat flour,controlled,,,SRC_IDF_003,verified_current_control,,CAT035,Food,Flour,Wheat Flour,included,direct,yes,yes,indofood__cakra_kembar,yes,yes,indofood__flour,
